jump_instr_address,jump_instr,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x736,jne,条件跳转,e1000_request_irq,0x6f0,0x73c,e1000_request_irq,0x6f0
0x750,callq,函数调用,e1000_alloc_frag,0x750,0x755,e1000_alloc_frag,0x750
0x770,callq,函数调用,e1000_alloc_frag,0x750,0x775,e1000_alloc_frag,0x750
0x790,callq,函数调用,e1000_alloc_jumbo_rx_buffers,0x790,0x795,e1000_alloc_jumbo_rx_buffers,0x790
0x7c7,je,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x895,e1000_alloc_jumbo_rx_buffers,0x790
0x7d6,jmp,无条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x804,e1000_alloc_jumbo_rx_buffers,0x790
0x7ed,je,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x8c2,e1000_alloc_jumbo_rx_buffers,0x790
0x802,je,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x873,e1000_alloc_jumbo_rx_buffers,0x790
0x808,je,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x8a8,e1000_alloc_jumbo_rx_buffers,0x790
0x815,jne,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x7d8,e1000_alloc_jumbo_rx_buffers,0x790
0x830,callq,函数调用,e1000_alloc_jumbo_rx_buffers,0x790,0x835,e1000_alloc_jumbo_rx_buffers,0x790
0x83d,jne,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x7d8,e1000_alloc_jumbo_rx_buffers,0x790
0x856,je,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x8fc,e1000_alloc_jumbo_rx_buffers,0x790
0x877,je,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x895,e1000_alloc_jumbo_rx_buffers,0x790
0x885,je,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x906,e1000_alloc_jumbo_rx_buffers,0x790
0x8af,callq,函数调用,e1000_alloc_jumbo_rx_buffers,0x790,0x8b4,e1000_alloc_jumbo_rx_buffers,0x790
0x8ba,jne,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x80e,e1000_alloc_jumbo_rx_buffers,0x790
0x8c0,jmp,无条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x86b,e1000_alloc_jumbo_rx_buffers,0x790
0x8d9,jne,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x852,e1000_alloc_jumbo_rx_buffers,0x790
0x8ec,ja,条件跳转,e1000_alloc_jumbo_rx_buffers,0x790,0x852,e1000_alloc_jumbo_rx_buffers,0x790
0x8f2,callq,函数调用,e1000_alloc_jumbo_rx_buffers,0x790,0x8f7,e1000_alloc_jumbo_rx_buffers,0x790
0x8fc,callq,函数调用,e1000_alloc_jumbo_rx_buffers,0x790,0x901,e1000_alloc_jumbo_rx_buffers,0x790
0x920,callq,函数调用,e1000_down_and_stop,0x920,0x925,e1000_down_and_stop,0x920
0x93c,callq,函数调用,e1000_down_and_stop,0x920,0x941,e1000_down_and_stop,0x920
0x948,callq,函数调用,e1000_down_and_stop,0x920,0x94d,e1000_down_and_stop,0x920
0x954,callq,函数调用,e1000_down_and_stop,0x920,0x959,e1000_down_and_stop,0x920
0x962,je,条件跳转,e1000_down_and_stop,0x920,0x96b,e1000_down_and_stop,0x920
0x972,callq,函数调用,e1000_down_and_stop,0x920,0x977,e1000_down_and_stop,0x920
0x980,callq,函数调用,e1000_update_phy_info_task,0x980,0x985,e1000_update_phy_info_task,0x980
0x997,callq,函数调用,e1000_update_phy_info_task,0x980,0x99c,e1000_update_phy_info_task,0x980
0x9b0,callq,函数调用,e1000_82547_tx_fifo_stall_task,0x9b0,0x9b5,e1000_82547_tx_fifo_stall_task,0x9b0
0x9bd,je,条件跳转,e1000_82547_tx_fifo_stall_task,0x9b0,0xa21,e1000_82547_tx_fifo_stall_task,0x9e1
0xa0a,je,条件跳转,e1000_has_link.cold,0x9e1,0xa26,e1000_82547_tx_fifo_stall_task,0x9e1
0xa15,je,条件跳转,e1000_has_link.cold,0x9e1,0xb4e,e1000_82547_tx_fifo_stall_task,0xa56
0xa64,jne,条件跳转,e1000_watchdog.cold,0xa56,0xa0c,e1000_82547_tx_fifo_stall_task,0x9e1
0xa82,jne,条件跳转,e1000_watchdog.cold,0xa56,0xa0c,e1000_82547_tx_fifo_stall_task,0x9e1
0xb43,callq,函数调用,e1000_watchdog.cold,0xa56,0xb48,e1000_82547_tx_fifo_stall_task,0xa56
0xb62,callq,函数调用,e1000_watchdog.cold,0xa56,0xb67,e1000_82547_tx_fifo_stall_task,0xa56
0xb70,callq,函数调用,e1000_tx_timeout,0xb70,0xb75,e1000_tx_timeout,0xb70
0xb93,callq,函数调用,e1000_tx_timeout,0xb70,0xb98,e1000_tx_timeout,0xb70
0xba0,callq,函数调用,e1000_netpoll,0xba0,0xba5,e1000_netpoll,0xba3
0xbba,callq,函数调用,e1000_pci_set_mwi.cold,0xba3,0xbbf,e1000_netpoll,0xbbb
0xbc1,jne,条件跳转,e1000_suspend.cold,0xbbb,0xbdc,e1000_netpoll,0xbcf
0xbd0,callq,函数调用,e1000_shutdown.cold,0xbcf,0xbd5,e1000_netpoll,0xbcf
0xbec,callq,函数调用,e1000_resume.cold,0xbe3,0x5d0,e1000_intr,0x5d0
0xbf1,jmp,无条件跳转,e1000_resume.cold,0xbe3,0xbc3,e1000_netpoll,0xbbb
0xc00,callq,函数调用,e1000_power_down_phy,0xc00,0xc05,e1000_power_down_phy,0xc00
0xc26,jne,条件跳转,e1000_change_mtu.cold,0xc07,0xc33,e1000_power_down_phy,0xc07
0xc31,ja,条件跳转,e1000_change_mtu.cold,0xc07,0xc4e,e1000_power_down_phy,0xc38
0xc40,jne,条件跳转,e1000_reset_task.cold,0xc38,0xcb0,e1000_power_down_phy,0xca1
0xc56,jne,条件跳转,e1000_set_spd_dplx.cold,0xc50,0xc33,e1000_power_down_phy,0xc07
0xc64,ja,条件跳转,e1000_set_spd_dplx.cold,0xc50,0xc33,e1000_power_down_phy,0xc07
0xc75,jne,条件跳转,e1000_shift_out_ee_bits.cold,0xc6d,0xc33,e1000_power_down_phy,0xc07
0xc87,callq,函数调用,e1000_shift_out_ee_bits.cold,0xc6d,0xc8c,e1000_power_down_phy,0xc8c
0xc9f,callq,函数调用,e1000_get_speed_and_duplex.cold,0xc8c,0xca4,e1000_power_down_phy,0xca1
0xca9,callq,函数调用,e1000_config_fc_after_link_up.cold,0xca1,0xcae,e1000_power_down_phy,0xca1
0xcae,jmp,无条件跳转,e1000_config_fc_after_link_up.cold,0xca1,0xc33,e1000_power_down_phy,0xc07
0xcb0,callq,函数调用,e1000_config_fc_after_link_up.cold,0xca1,0xcb5,e1000_power_down_phy,0xca1
0xcc0,callq,函数调用,e1000_setup_rctl,0xcc0,0xcc5,e1000_setup_rctl,0xcc0
0xcf8,ja,条件跳转,e1000_setup_rctl,0xcc0,0xcfe,e1000_setup_rctl,0xcc0
0xd29,ja,条件跳转,e1000_copper_link_igp_setup.cold,0xd17,0xd30,e1000_setup_rctl,0xd2b
0xd4d,je,条件跳转,e1000_phy_get_info.cold,0xd2b,0xd75,e1000_setup_rctl,0xd55
0xd5c,je,条件跳转,e1000_setup_copper_link.cold,0xd55,0xd75,e1000_setup_rctl,0xd55
0xdb0,callq,函数调用,e1000_configure_rx,0xdb0,0xdb5,e1000_configure_rx,0xdb0
0xde1,jbe,条件跳转,e1000_update_adaptive.cold,0xdd1,0xfc3,e1000_configure_rx,0xf8f
0xe4c,jbe,条件跳转,e1000_set_link_ksettings.cold,0xe2f,0xe75,e1000_configure_rx,0xe4d
0xe69,jne,条件跳转,e1000_get_ethtool_stats.cold,0xe4d,0xfde,e1000_configure_rx,0xf8f
0xf5f,jbe,条件跳转,e1000_diag_test.cold,0xf30,0xfa4,e1000_configure_rx,0xf8f
0xf7b,ja,条件跳转,e1000_diag_test.cold,0xf30,0xf81,e1000_configure_rx,0xf30
0x1010,callq,函数调用,e1000_vlan_rx_kill_vid,0x1010,0x1015,e1000_vlan_rx_kill_vid,0x1010
0x1042,je,条件跳转,e1000_vlan_rx_kill_vid,0x1010,0x10e7,e1000_vlan_rx_kill_vid,0x104a
0x1052,jne,条件跳转,e1000_check_copper_options.cold,0x104a,0x1070,e1000_vlan_rx_kill_vid,0x104a
0x10ad,callq,函数调用,e1000_check_copper_options.cold,0x104a,0x10b2,e1000_vlan_rx_kill_vid,0x104a
0x10c3,callq,函数调用,e1000_check_copper_options.cold,0x104a,0x10c8,e1000_vlan_rx_kill_vid,0x104a
0x10cc,jbe,条件跳转,e1000_check_copper_options.cold,0x104a,0x10d8,e1000_vlan_rx_kill_vid,0x104a
0x10d3,callq,函数调用,e1000_check_copper_options.cold,0x104a,0x11e0,e1000_vlan_filter_on_off,0x11e0
0x1109,callq,函数调用,e1000_check_copper_options.cold,0x104a,0x110e,e1000_vlan_rx_kill_vid,0x104a
0x1120,callq,函数调用,e1000_update_mng_vlan,0x1120,0x1125,e1000_update_mng_vlan,0x1120
0x114f,callq,函数调用,e1000_update_mng_vlan,0x1120,0x1154,e1000_update_mng_vlan,0x1120
0x1158,ja,条件跳转,e1000_update_mng_vlan,0x1120,0x1190,e1000_update_mng_vlan,0x1120
0x1162,jb,条件跳转,e1000_update_mng_vlan,0x1120,0x119d,e1000_update_mng_vlan,0x1120
0x116b,jne,条件跳转,e1000_update_mng_vlan,0x1120,0x11b2,e1000_update_mng_vlan,0x1120
0x117e,je,条件跳转,e1000_update_mng_vlan,0x1120,0x1190,e1000_update_mng_vlan,0x1120
0x1184,je,条件跳转,e1000_update_mng_vlan,0x1120,0x1190,e1000_update_mng_vlan,0x1120
0x118e,jae,条件跳转,e1000_update_mng_vlan,0x1120,0x11cd,e1000_update_mng_vlan,0x1120
0x11be,callq,函数调用,e1000_update_mng_vlan,0x1120,0x1300,e1000_vlan_rx_add_vid,0x1300
0x11cb,jmp,无条件跳转,e1000_update_mng_vlan,0x1120,0x1179,e1000_update_mng_vlan,0x1120
0x11d9,callq,函数调用,e1000_update_mng_vlan,0x1120,0x1010,e1000_vlan_rx_kill_vid,0x1010
0x11de,jmp,无条件跳转,e1000_update_mng_vlan,0x1120,0x1190,e1000_update_mng_vlan,0x1120
0x11e0,callq,函数调用,e1000_vlan_filter_on_off,0x11e0,0x11e5,e1000_vlan_filter_on_off,0x11e0
0x1203,je,条件跳转,e1000_vlan_filter_on_off,0x11e0,0x12c4,e1000_vlan_filter_on_off,0x11e0
0x123f,je,条件跳转,e1000_vlan_filter_on_off,0x11e0,0x12aa,e1000_vlan_filter_on_off,0x11e0
0x1275,callq,函数调用,e1000_vlan_filter_on_off,0x11e0,0x1120,e1000_update_mng_vlan,0x1120
0x1283,jne,条件跳转,e1000_vlan_filter_on_off,0x11e0,0x12a1,e1000_vlan_filter_on_off,0x11e0
0x12c2,jmp,无条件跳转,e1000_vlan_filter_on_off,0x11e0,0x127a,e1000_vlan_filter_on_off,0x11e0
0x12e6,callq,函数调用,e1000_vlan_filter_on_off,0x11e0,0x12eb,e1000_vlan_filter_on_off,0x11e0
0x1300,callq,函数调用,e1000_vlan_rx_add_vid,0x1300,0x1305,e1000_vlan_rx_add_vid,0x1300
0x132a,je,条件跳转,e1000_vlan_rx_add_vid,0x1300,0x1335,e1000_vlan_rx_add_vid,0x1300
0x1333,je,条件跳转,e1000_vlan_rx_add_vid,0x1300,0x1397,e1000_vlan_rx_add_vid,0x1359
0x1344,callq,函数调用,e1000_vlan_rx_add_vid,0x1300,0x1349,e1000_vlan_rx_add_vid,0x1300
0x134d,ja,条件跳转,e1000_vlan_rx_add_vid,0x1300,0x13a8,e1000_vlan_rx_add_vid,0x1359
0x1389,callq,函数调用,e1000_check_options.cold,0x1359,0x138e,e1000_vlan_rx_add_vid,0x1359
0x13b0,callq,函数调用,e1000_check_options.cold,0x1359,0x11e0,e1000_vlan_filter_on_off,0x11e0
0x13b5,jmp,无条件跳转,e1000_check_options.cold,0x1359,0x134f,e1000_vlan_rx_add_vid,0x1300
0x13c0,callq,函数调用,e1000_init_manageability.part.0,0x13c0,0x13c5,e1000_init_manageability.part.0,0x13c0
0x13f0,callq,函数调用,e1000_release_manageability.part.0,0x13f0,0x13f5,e1000_release_manageability.part.0,0x13f0
0x1420,callq,函数调用,e1000_remove,0x1420,0x1425,e1000_remove,0x1420
0x144e,callq,函数调用,e1000_remove,0x1420,0x920,e1000_down_and_stop,0x920
0x145d,je,条件跳转,e1000_remove,0x1420,0x1467,e1000_remove,0x1420
0x1462,callq,函数调用,e1000_remove,0x1420,0x13f0,e1000_release_manageability.part.0,0x13f0
0x146a,callq,函数调用,e1000_remove,0x1420,0x146f,e1000_remove,0x1420
0x1472,callq,函数调用,e1000_remove,0x1420,0x1477,e1000_remove,0x1420
0x147f,callq,函数调用,e1000_remove,0x1420,0x1484,e1000_remove,0x1420
0x148c,callq,函数调用,e1000_remove,0x1420,0x1491,e1000_remove,0x1420
0x149a,je,条件跳转,e1000_remove,0x1420,0x150b,e1000_remove,0x1420
0x14a4,callq,函数调用,e1000_remove,0x1420,0x14a9,e1000_remove,0x1420
0x14b4,je,条件跳转,e1000_remove,0x1420,0x14bb,e1000_remove,0x1420
0x14b6,callq,函数调用,e1000_remove,0x1420,0x14bb,e1000_remove,0x1420
0x14c6,callq,函数调用,e1000_remove,0x1420,0x14cb,e1000_remove,0x1420
0x14dd,callq,函数调用,e1000_remove,0x1420,0x14e2,e1000_remove,0x1420
0x14e5,je,条件跳转,e1000_remove,0x1420,0x14f5,e1000_remove,0x1420
0x14f8,callq,函数调用,e1000_remove,0x1420,0x14fd,e1000_remove,0x1420
0x1513,callq,函数调用,e1000_remove,0x1420,0x1518,e1000_remove,0x1420
0x1518,jmp,无条件跳转,e1000_remove,0x1420,0x149c,e1000_remove,0x1420
0x1520,callq,函数调用,e1000_tbi_should_accept,0x1520,0x1525,e1000_tbi_should_accept,0x1520
0x154c,ja,条件跳转,e1000_tbi_should_accept,0x1520,0x1552,e1000_tbi_should_accept,0x1520
0x1555,je,条件跳转,e1000_tbi_should_accept,0x1520,0x156b,e1000_tbi_should_accept,0x1520
0x1569,jne,条件跳转,e1000_tbi_should_accept,0x1520,0x157e,e1000_tbi_should_accept,0x1520
0x158a,jne,条件跳转,e1000_tbi_should_accept,0x1520,0x1693,e1000_tbi_should_accept,0x1520
0x1594,jbe,条件跳转,e1000_tbi_should_accept,0x1520,0x156b,e1000_tbi_should_accept,0x1520
0x15af,je,条件跳转,e1000_tbi_should_accept,0x1520,0x156b,e1000_tbi_should_accept,0x1520
0x15bc,callq,函数调用,e1000_tbi_should_accept,0x1520,0x15c1,e1000_tbi_should_accept,0x1520
0x15fb,je,条件跳转,e1000_tbi_should_accept,0x1520,0x160e,e1000_tbi_should_accept,0x1520
0x1603,jne,条件跳转,e1000_tbi_should_accept,0x1520,0x160e,e1000_tbi_should_accept,0x1520
0x1620,je,条件跳转,e1000_tbi_should_accept,0x1520,0x16d7,e1000_tbi_should_accept,0x1520
0x162a,je,条件跳转,e1000_tbi_should_accept,0x1520,0x1635,e1000_tbi_should_accept,0x1520
0x163d,je,条件跳转,e1000_tbi_should_accept,0x1520,0x16b5,e1000_tbi_should_accept,0x1520
0x1642,je,条件跳转,e1000_tbi_should_accept,0x1520,0x16e5,e1000_tbi_should_accept,0x1520
0x164b,je,条件跳转,e1000_tbi_should_accept,0x1520,0x16f9,e1000_tbi_should_accept,0x1520
0x1657,je,条件跳转,e1000_tbi_should_accept,0x1520,0x1710,e1000_tbi_should_accept,0x1520
0x1663,je,条件跳转,e1000_tbi_should_accept,0x1520,0x1727,e1000_tbi_should_accept,0x1520
0x166f,je,条件跳转,e1000_tbi_should_accept,0x1520,0x173e,e1000_tbi_should_accept,0x1520
0x167b,jne,条件跳转,e1000_tbi_should_accept,0x1520,0x1686,e1000_tbi_should_accept,0x1520
0x1689,callq,函数调用,e1000_tbi_should_accept,0x1520,0x168e,e1000_tbi_should_accept,0x1520
0x169a,jbe,条件跳转,e1000_tbi_should_accept,0x1520,0x156b,e1000_tbi_should_accept,0x1520
0x16c0,je,条件跳转,e1000_tbi_should_accept,0x1520,0x163f,e1000_tbi_should_accept,0x1520
0x16f7,jmp,无条件跳转,e1000_tbi_should_accept,0x1520,0x1686,e1000_tbi_should_accept,0x1520
0x1760,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1765,e1000_clean_jumbo_rx_irq,0x1760
0x17b9,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1ecb,e1000_clean_jumbo_rx_irq,0x1760
0x1835,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x183b,e1000_clean_jumbo_rx_irq,0x1760
0x1877,jg,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1b23,e1000_clean_jumbo_rx_irq,0x1760
0x1888,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1b51,e1000_clean_jumbo_rx_irq,0x1760
0x189e,jge,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1b51,e1000_clean_jumbo_rx_irq,0x1760
0x18c3,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x18c9,e1000_clean_jumbo_rx_irq,0x1760
0x1906,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x190b,e1000_clean_jumbo_rx_irq,0x1760
0x1920,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x19a9,e1000_clean_jumbo_rx_irq,0x1760
0x192e,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x17ec,e1000_clean_jumbo_rx_irq,0x1760
0x1943,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1948,e1000_clean_jumbo_rx_irq,0x1760
0x1954,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1ea4,e1000_clean_jumbo_rx_irq,0x1760
0x198c,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1992,e1000_clean_jumbo_rx_irq,0x1760
0x19b8,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1e1f,e1000_clean_jumbo_rx_irq,0x1760
0x19d1,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1bce,e1000_clean_jumbo_rx_irq,0x1760
0x1a1c,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1a22,e1000_clean_jumbo_rx_irq,0x1760
0x1a7c,jbe,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1ab2,e1000_clean_jumbo_rx_irq,0x1760
0x1a84,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1ab2,e1000_clean_jumbo_rx_irq,0x1760
0x1a88,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1df3,e1000_clean_jumbo_rx_irq,0x1760
0x1a91,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1ab2,e1000_clean_jumbo_rx_irq,0x1760
0x1ad4,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1adf,e1000_clean_jumbo_rx_irq,0x1760
0x1ad9,jb,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1ee6,e1000_clean_jumbo_rx_irq,0x1760
0x1ae7,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1b0c,e1000_clean_jumbo_rx_irq,0x1760
0x1b0f,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1b14,e1000_clean_jumbo_rx_irq,0x1760
0x1b1d,jle,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x187d,e1000_clean_jumbo_rx_irq,0x1760
0x1b3a,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1b3f,e1000_clean_jumbo_rx_irq,0x1760
0x1b4b,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x188e,e1000_clean_jumbo_rx_irq,0x1760
0x1b6d,ja,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1b74,e1000_clean_jumbo_rx_irq,0x1760
0x1b7b,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1b90,e1000_clean_jumbo_rx_irq,0x1760
0x1b8b,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1b90,e1000_clean_jumbo_rx_irq,0x1760
0x1bd5,jb,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1d6c,e1000_clean_jumbo_rx_irq,0x1760
0x1c12,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1c17,e1000_clean_jumbo_rx_irq,0x1760
0x1c2c,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1e00,e1000_clean_jumbo_rx_irq,0x1760
0x1c76,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1c7b,e1000_clean_jumbo_rx_irq,0x1760
0x1c90,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1c95,e1000_clean_jumbo_rx_irq,0x1760
0x1cbf,jbe,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1cf7,e1000_clean_jumbo_rx_irq,0x1760
0x1cc7,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1cf7,e1000_clean_jumbo_rx_irq,0x1760
0x1ccb,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1e6f,e1000_clean_jumbo_rx_irq,0x1760
0x1cd4,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1cf7,e1000_clean_jumbo_rx_irq,0x1760
0x1d1d,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1d22,e1000_clean_jumbo_rx_irq,0x1760
0x1d36,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1d5c,e1000_clean_jumbo_rx_irq,0x1760
0x1d62,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1d67,e1000_clean_jumbo_rx_irq,0x1760
0x1d85,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1d8a,e1000_clean_jumbo_rx_irq,0x1760
0x1da6,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1e00,e1000_clean_jumbo_rx_irq,0x1760
0x1dd6,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1ddc,e1000_clean_jumbo_rx_irq,0x1760
0x1e4d,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1520,e1000_tbi_should_accept,0x1520
0x1e5c,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1e80,e1000_clean_jumbo_rx_irq,0x1760
0x1e9a,je,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1eb8,e1000_clean_jumbo_rx_irq,0x1760
0x1eb8,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1ebd,e1000_clean_jumbo_rx_irq,0x1760
0x1eeb,jne,条件跳转,e1000_clean_jumbo_rx_irq,0x1760,0x1f0b,e1000_clean_jumbo_rx_irq,0x1760
0x1f16,callq,函数调用,e1000_clean_jumbo_rx_irq,0x1760,0x1f1b,e1000_clean_jumbo_rx_irq,0x1760
0x1f30,callq,函数调用,e1000_unmap_and_free_tx_resource.isra.0,0x1f30,0x1f35,e1000_unmap_and_free_tx_resource.isra.0,0x1f30
0x1f46,je,条件跳转,e1000_unmap_and_free_tx_resource.isra.0,0x1f30,0x1f7b,e1000_unmap_and_free_tx_resource.isra.0,0x1f30
0x1f51,ja,条件跳转,e1000_unmap_and_free_tx_resource.isra.0,0x1f30,0x1f57,e1000_unmap_and_free_tx_resource.isra.0,0x1f30
